state,sex,age_group,population
IA,Male,65-74 years,124077
IA,All Sexes,75-84 years,153198
IA,Female,75-84 years,87554
IA,Male,75-84 years,65644
IA,All Sexes,85 years and over,77723
IA,Female,85 years and over,52169
IA,Male,85 years and over,25554
IA,All Sexes,Total,3082663
IA,Female,Total,1539675
IA,Male,Total,1542988
ID,All Sexes,25-34 years,214278
ID,Female,25-34 years,105603
ID,Male,25-34 years,108675
ID,All Sexes,Under 25 years,576134
ID,Female,Under 25 years,273917
ID,Male,Under 25 years,302217
ID,All Sexes,35-44 years,200434
ID,Female,35-44 years,99044
ID,Male,35-44 years,101390
ID,All Sexes,45-54 years,199784
ID,Female,45-54 years,100025
ID,Male,45-54 years,99759
ID,All Sexes,55-64 years,199764
ID,Female,55-64 years,101685
ID,Male,55-64 years,98079
ID,All Sexes,65-74 years,139140
ID,Female,65-74 years,70732
ID,Male,65-74 years,68408
ID,All Sexes,75-84 years,67595
ID,Female,75-84 years,36434
ID,Male,75-84 years,31161
ID,All Sexes,85 years and over,26611
ID,Female,85 years and over,16455
ID,Male,85 years and over,10156
ID,All Sexes,Total,1623740
ID,Female,Total,803895
ID,Male,Total,819845
IL,All Sexes,25-34 years,1780279
IL,Female,25-34 years,884049
IL,Male,25-34 years,896230
IL,All Sexes,Under 25 years,4145181
IL,Female,Under 25 years,1985451
IL,Male,Under 25 years,2159730
IL,All Sexes,35-44 years,1672366
IL,Female,35-44 years,838202
IL,Male,35-44 years,834164
IL,All Sexes,45-54 years,1768455
IL,Female,45-54 years,896183
IL,Male,45-54 years,872272
IL,All Sexes,55-64 years,1613087
IL,Female,55-64 years,832752
IL,Male,55-64 years,780335
IL,All Sexes,65-74 years,1000237
IL,Female,65-74 years,537126
IL,Male,65-74 years,463111
IL,All Sexes,75-84 years,535327
IL,Female,75-84 years,311262
IL,Male,75-84 years,224065
IL,All Sexes,85 years and over,248533
IL,Female,85 years and over,167980
IL,Male,85 years and over,80553
IL,All Sexes,Total,12763465
IL,Female,Total,6453005
IL,Male,Total,6310460
IN,All Sexes,25-34 years,845708
IN,Female,25-34 years,421491
IN,Male,25-34 years,424217
IN,All Sexes,Under 25 years,2198737
IN,Female,Under 25 years,1048618
IN,Male,Under 25 years,1150119
IN,All Sexes,35-44 years,822044
IN,Female,35-44 years,410997
IN,Male,35-44 years,411047
IN,All Sexes,45-54 years,891285
IN,Female,45-54 years,449323
IN,Male,45-54 years,441962
IN,All Sexes,55-64 years,840327
IN,Female,55-64 years,431354
IN,Male,55-64 years,408973
IN,All Sexes,65-74 years,535846
IN,Female,65-74 years,285459
IN,Male,65-74 years,250387
IN,All Sexes,75-84 years,280246
IN,Female,75-84 years,162085
IN,Male,75-84 years,118161
IN,All Sexes,85 years and over,124231
IN,Female,85 years and over,83775
IN,Male,85 years and over,40456
IN,All Sexes,Total,6538424
IN,Female,Total,3293102
IN,Male,Total,3245322
KS,All Sexes,25-34 years,384327
KS,Female,25-34 years,188266
KS,Male,25-34 years,196061
KS,All Sexes,Under 25 years,998249
KS,Female,Under 25 years,473341
KS,Male,Under 25 years,524908
KS,All Sexes,35-44 years,345603
KS,Female,35-44 years,170382
KS,Male,35-44 years,175221
KS,All Sexes,45-54 years,370189
KS,Female,45-54 years,185783
KS,Male,45-54 years,184406
KS,All Sexes,55-64 years,362849
KS,Female,55-64 years,184977
KS,Male,55-64 years,177872
KS,All Sexes,65-74 years,226565
KS,Female,65-74 years,118586
KS,Male,65-74 years,107979
KS,All Sexes,75-84 years,127315
KS,Female,75-84 years,72872
KS,Male,75-84 years,54443
KS,All Sexes,85 years and over,61647
KS,Female,85 years and over,40625
KS,Male,85 years and over,21022
KS,All Sexes,Total,2876744
KS,Female,Total,1434832
KS,Male,Total,1441912
KY,All Sexes,25-34 years,566828
KY,Female,25-34 years,281533
KY,Male,25-34 years,285295
KY,All Sexes,Under 25 years,1409836
KY,Female,Under 25 years,669758
KY,Male,Under 25 years,740078
KY,All Sexes,35-44 years,560760
KY,Female,35-44 years,279540
KY,Male,35-44 years,281220
KY,All Sexes,45-54 years,611789
KY,Female,45-54 years,310306
KY,Male,45-54 years,301483
KY,All Sexes,55-64 years,577696
KY,Female,55-64 years,298685
KY,Male,55-64 years,279011
KY,All Sexes,65-74 years,384692
KY,Female,65-74 years,204700
KY,Male,65-74 years,179992
KY,All Sexes,75-84 years,192551
KY,Female,75-84 years,111821
KY,Male,75-84 years,80730
KY,All Sexes,85 years and over,75757
KY,Female,85 years and over,50821
KY,Male,85 years and over,24936
KY,All Sexes,Total,4379909
KY,Female,Total,2207164
KY,Male,Total,2172745
LA,All Sexes,25-34 years,666210
LA,Female,25-34 years,334105
LA,Male,25-34 years,332105
LA,All Sexes,Under 25 years,1543934
LA,Female,Under 25 years,739519
LA,Male,Under 25 years,804415
LA,All Sexes,35-44 years,569307
LA,Female,35-44 years,287689
LA,Male,35-44 years,281618
LA,All Sexes,45-54 years,610677
LA,Female,45-54 years,313491
LA,Male,45-54 years,297186
LA,All Sexes,55-64 years,586060
LA,Female,55-64 years,304787
LA,Male,55-64 years,281273
LA,All Sexes,65-74 years,371899
LA,Female,65-74 years,199706
LA,Male,65-74 years,172193
LA,All Sexes,75-84 years,188842
LA,Female,75-84 years,110387
LA,Male,75-84 years,78455
